cell,gene
ABpraapppa,nlp-7
ABpraapppa,par-6
ABpraapppa,gst-44
ABpraapppa,rhgf-1
ABpraapppa,cat-1
ABpraapppa,spn-4
ABpraapppa,mig-1
ABpraapppa,psa-4
ABpraapppa,nhr-22
ABpraapppa,pry-1
ABpraapppa,str-3
ABpraapppa,jkk-1
ABpraapppa,smp-2
ABpraapppa,nhr-85
R1BL,cnd-1
R1BL,pgp-3
R1BL,ina-1
R1BL,ceh-14
R1BL,clh-4
R1BL,hcp-1
R1BL,daf-7
R1BL,fax-1
R1BL,unc-5
R1BL,mec-10
R1BL,daf-3
R1BL,avr-15
R1BL,ooc-5
R1BL,unc-32
R1BL,exc-7
R1BL,del-1
R1BL,Y46G5A.4
R1BL,rpl-5
R1BL,hid-1
R1BL,ocr-1
R1BL,C32B5.6
R1BL,lon-3
R1BL,cog-1
R1BL,gsp-4
R1BL,wrm-1
R1BL,nlp-8
R1BL,tax-6
R1BL,cha-1
R1BR,cnd-1
R1BR,pgp-3
R1BR,ina-1
R1BR,ceh-14
R1BR,clh-4
R1BR,hcp-1
R1BR,daf-7
R1BR,fax-1
R1BR,unc-5
R1BR,mec-10
R1BR,daf-3
R1BR,avr-15
R1BR,ooc-5
R1BR,unc-32
R1BR,exc-7
R1BR,del-1
R1BR,Y46G5A.4
R1BR,rpl-5
R1BR,hid-1
R1BR,ocr-1
R1BR,C32B5.6
R1BR,lon-3
R1BR,cog-1
R1BR,gsp-4
R1BR,wrm-1
R1BR,nlp-8
R1BR,tax-6
R1BR,cha-1
ABpraapppp,nlp-7
ABpraapppp,par-6
ABpraapppp,gst-44
ABpraapppp,rhgf-1
ABpraapppp,cat-1
ABpraapppp,spn-4
ABpraapppp,mig-1
ABpraapppp,psa-4
ABpraapppp,nhr-22
ABpraapppp,pry-1
ABpraapppp,str-3
ABpraapppp,jkk-1
ABpraapppp,smp-2
ABpraapppp,nhr-85
QR.pa,par-6
QR.pa,ceh-7
QR.pa,unc-14
QR.pa,nlp-27
QR.pa,Y18D10A.23
QR.pa,ceh-43
V3R.pappa,alh-9
V3R.pappa,B0285.6
G2,F55G1.6
G2,par-6
G2,gst-44
G2,rhgf-1
G2,cat-1
G2,psa-4
G2,nhr-22
G2,pry-1
G2,str-3
G2,mec-9
G2,smp-2
G2,unc-64
G1,F55G1.6
G1,par-6
G1,gst-44
G1,rhgf-1
G1,cat-1
G1,psa-4
G1,nhr-22
G1,pry-1
G1,str-3
G1,smp-2
G1,F41C3.8
G1,unc-64
ABplappapp,nlp-7
ABplappapp,par-6
ABplappapp,gst-44
ABplappapp,rhgf-1
ABplappapp,cat-1
ABplappapp,spn-4
ABplappapp,mig-1
ABplappapp,psa-4
ABplappapp,nhr-22
ABplappapp,pry-1
ABplappapp,str-3
ABplappapp,jkk-1
ABplappapp,smp-2
ABplappapp,nhr-85
ABplappapp,unc-64
QR.pp,par-6
QR.pp,ceh-7
QR.pp,unc-14
QR.pp,nlp-27
QR.pp,Y18D10A.23
QR.pp,ceh-43
V3R.pappp,alh-9
V3R.pappp,B0285.6
RIR,glr-3
RIR,nlp-14
RIR,par-6
RIR,gst-44
RIR,rhgf-1
RIR,cat-1
RIR,psa-4
RIR,nhr-22
RIR,pry-1
RIR,str-3
RIR,smp-2
B.alp,wrk-1
MSaappppa,par-6
MSaappppa,gst-44
MSaappppa,rhgf-1
MSaappppa,cat-1
MSaappppa,spn-4
MSaappppa,mig-1
MSaappppa,psa-4
MSaappppa,pry-1
MSaappppa,str-3
MSaappppa,ric-19
MSaappppa,smp-2
IL2VR,nlp-14
IL2VR,par-6
IL2VR,gst-44
IL2VR,rhgf-1
IL2VR,osm-6
IL2VR,R09A8.5
IL2VR,cat-1
IL2VR,psa-4
IL2VR,nhr-22
IL2VR,snt-1
IL2VR,pry-1
IL2VR,str-3
IL2VR,smp-2
IL2VR,gpa-5
IL2VR,gpa-4
IL2VL,nlp-14
IL2VL,par-6
IL2VL,gst-44
IL2VL,rhgf-1
IL2VL,osm-6
IL2VL,R09A8.5
IL2VL,cat-1
IL2VL,psa-4
IL2VL,nhr-22
IL2VL,snt-1
IL2VL,pry-1
IL2VL,str-3
IL2VL,smp-2
IL2VL,gpa-5
IL2VL,gpa-4
B.ala,wrk-1
TL.app,glr-6
B.arapap,wrk-1
V5L.pppapa,alh-9
Cpp,unc-86
Cpp,nlp-7
Cpp,unc-17
Cpp,par-6
Cpp,gst-44
Cpp,rhgf-1
Cpp,inx-4
Cpp,psa-4
Cpp,gcy-32
Cpp,gcy-12
Cpp,nlp-27
Cpp,pry-1
Cpp,str-3
Cpp,smp-2
Cpp,nhr-85
SM2L.aap,egl-5
SM2L.aap,gar-2
ABprpaaaaa,nlp-7
ABprpaaaaa,par-6
ABprpaaaaa,gst-44
ABprpaaaaa,rhgf-1
ABprpaaaaa,cat-1
ABprpaaaaa,spn-4
ABprpaaaaa,mig-1
ABprpaaaaa,psa-4
ABprpaaaaa,nhr-22
ABprpaaaaa,pry-1
ABprpaaaaa,str-3
ABprpaaaaa,jkk-1
ABprpaaaaa,smp-2
ABprpaaaaa,nhr-85
TL.apappaa,oga-1
TL.apappaa,gar-2
TL.apappaa,srg-13
TL.apappaa,cha-1
rect_D,par-6
rect_D,gst-44
rect_D,rhgf-1
rect_D,cat-1
rect_D,psa-4
rect_D,nhr-22
rect_D,pry-1
rect_D,str-3
rect_D,che-2
rect_D,oig-3
rect_D,osm-5
rect_D,smp-2
rect_D,sdz-33
rect_D,chd-3
PQR,gcy-36
PQR,gcy-35
PQR,unc-129
PQR,T04B2.5
PQR,gpa-16
PQR,nlp-14
PQR,R09A8.5
PQR,ceh-36
PQR,B0303.11
PQR,R12C12.6
PQR,nhx-5
PQR,che-3
PQR,srh-220
PQR,mec-9
PQR,Y18D10A.23
PQR,tax-6
SM2L.aaa,egl-5
SM2L.aaa,gar-2
ABprpaaaap,nlp-7
ABprpaaaap,par-6
ABprpaaaap,gst-44
ABprpaaaap,rhgf-1
ABprpaaaap,cat-1
ABprpaaaap,spn-4
ABprpaaaap,mig-1
ABprpaaaap,psa-4
ABprpaaaap,nhr-22
ABprpaaaap,pry-1
ABprpaaaap,str-3
ABprpaaaap,jkk-1
ABprpaaaap,smp-2
ABprpaaaap,nhr-85
TL.apappap,oga-1
TL.apappap,gar-2
TL.apappap,srg-13
TL.apappap,cha-1
ABprappapp,nlp-7
ABprappapp,par-6
ABprappapp,gst-44
